Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
24b.sql; 11002,21; 75,197; 66089; 216; 29534; 11047,395; 78,979; 66078; 227; 35968; 9506,918; 69,47; 66177; 128; 28432; 10650,344; 67,967; 66082; 223; 33759; 8181,217; 81,944; 66079; 226; 31988; 6805,616; 72,583; 66095; 210; 32448; 10020,364; 66,351; 66127; 178; 31894; 8003,434; 91,547; 66156; 149; 31160; 8683,627; 79,098; 66090; 215; 31223; 11716,293; 81,315; 66094; 211; 29974
25a.sql; 9424,206; 8108,97; 4847617; 230679; 192382; 9760,763; 8100,881; 4849236; 229060; 395925; 6056,723; 9100,217; 4833330; 244966; 239620; 8359,1; 8795,455; 4839165; 239131; 232945; 5867,992; 9037,736; 4837668; 240628; 272495; 6437,002; 9380,814; 4794284; 284012; 254192; 8443,26; 10451,798; 4808428; 269868; 252832; 7798,013; 8437,632; 4851415; 226881; 198577; 8916,29; 7859,978; 4847526; 230770; 222718; 7364,146; 12046,904; 4782359; 295937; 284826
25b.sql; 8138,45; 244,653; 414668; 93; 123817; 8364,458; 208,292; 414659; 102; 100072; 8927,853; 230,111; 414656; 105; 131969; 8694,424; 231,039; 414656; 105; 97762; 9279,384; 217,354; 414654; 107; 103220; 7483,194; 267,396; 414637; 124; 82205; 7332,369; 269,168; 414657; 104; 111637; 8816,575; 220,493; 414674; 87; 82051; 7511,226; 277,302; 414654; 107; 127505; 7338,942; 199,91; 414662; 99; 105733
25c.sql; 9917,952; 24295,245; 8308934; 411195; 471096; 8418,778; 21787,686; 8309010; 411119; 508610; 8691,293; 25364,291; 8316820; 403309; 514304; 9111,38; 23039,764; 8317255; 402874; 274930; 8702,134; 29791,168; 8317478; 402651; 536216; 5688,377; 30942,698; 8309087; 411042; 492570; 9533,499; 26155,798; 8315795; 404334; 433947; 7555,798; 27858,491; 8295430; 424699; 476977; 8825,109; 25225,692; 8308864; 411265; 505925; 7667,121; 25917,179; 8317168; 402961; 580737
26a.sql; 7070,699; 4393,884; 776522; 76056; 170331; 7518,683; 3362,754; 790243; 62335; 231184; 7319,277; 4014,585; 784271; 68307; 176833; 7007,49; 3992,642; 783863; 68715; 168710; 7789,824; 4368,9; 777173; 75405; 188215; 3109,086; 1190,327; 784192; 68386; 178684; 7358,071; 4040,021; 784161; 68417; 178297; 7254,256; 4173,406; 781214; 71364; 183345; 6628,817; 4067,216; 783277; 69301; 196087; 8243,056; 3121,558; 804584; 47994; 174571
26b.sql; 7674,34; 144,311; 86552; 1399; 39465; 7036,377; 183,335; 86507; 1444; 48387; 8083,33; 135,387; 86999; 952; 49136; 7572,435; 78,422; 87906; 45; 35990; 8198,473; 140,901; 86681; 1270; 37550; 8493,343; 79,121; 87895; 56; 33369; 7200,876; 139,589; 86673; 1278; 40117; 7152,612; 149,931; 86718; 1233; 50933; 6140,813; 133,628; 86670; 1281; 40084; 6489,687; 138,368; 86628; 1323; 44780
26c.sql; 7995,551; 8060,467; 2199637; 142648; 217114; 6407,078; 8162,339; 2194665; 147626; 277427; 7184,934; 7735,77; 2201521; 140764; 319247; 3677,364; 4412,493; 2215508; 126783; 237160; 7097,184; 7962,756; 2199719; 142574; 223417; 9461,99; 1426,385; 2263554; 78739; 232939; 7895,203; 7975,305; 2199726; 142569; 239667; 7667,432; 7643,085; 2208106; 134193; 281308; 7492,929; 6038,948; 2231279; 111016; 304338; 7409,722; 8721,622; 2184062; 158231; 240814
27a.sql; 2915,564; 2,064; 2357; 0; 2794; 4253,792; 3,581; 2357; 0; 2579; 3656,158; 2,076; 2357; 0; 2536; 4796,734; 2,109; 2357; 0; 2615; 1580,238; 2,23; 2357; 0; 2617; 2447,935; 2,137; 2357; 0; 2620; 1710,617; 2,477; 2357; 0; 2579; 3947,342; 2,054; 2357; 0; 2723; 268,316; 2,657; 2357; 0; 2483; 5318,604; 2,736; 2357; 0; 2678
27b.sql; 5015,773; 2,119; 2699; 0; 2650; 3891,374; 2,112; 2699; 0; 2767; 312,449; 3,411; 2699; 0; 2849; 237,119; 2,332; 2699; 0; 2526; 1904,634; 2,464; 2699; 0; 2801; 1730,737; 2,153; 2699; 0; 2691; 1768,685; 2,467; 2699; 0; 2757; 321,298; 2,581; 2699; 0; 2637; 4047,249; 2,142; 2699; 0; 2767; 2239,836; 2,873; 2699; 0; 2778
27c.sql; 4192,792; 2,233; 2851; 0; 2812; 4255,872; 2,334; 2851; 0; 2511; 1195,592; 2,469; 2851; 0; 2793; 2768,311; 2,522; 2851; 0; 2584; 1224,972; 2,559; 2851; 0; 2835; 3210,942; 2,348; 2851; 0; 2639; 305,156; 2,651; 2851; 0; 2797; 930,223; 3,015; 2851; 0; 2836; 1687,559; 3,563; 2851; 0; 2472; 1548,641; 2,652; 2851; 0; 2642
