Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
18b.sql; 6,217; 11772,747; 2317801; 283594; 479543; 15,384; 5665,004; 2482979; 118416; 293038; 4,758; 10011,292; 2355524; 245871; 416043; 7,284; 10713,802; 2340534; 260861; 421878; 8,686; 10531,768; 2349901; 251494; 388927; 8,187; 10268,724; 2355385; 246010; 398949; 4,956; 10417,24; 2346642; 254753; 415648; 4,835; 10420,589; 2350926; 250469; 414477; 7,404; 8275,471; 2392595; 208800; 362194; 7,052; 11896,79; 2314721; 286674; 450663
18c.sql; 9,1; 13611,1; 7696464; 503854; 379352; 8,112; 12049,441; 7817143; 383175; 285335; 18,232; 12252,862; 7750163; 450155; 315110; 6,476; 20030,06; 7645377; 554941; 401803; 13,648; 13625,002; 7741041; 459277; 339169; 4,664; 16140,343; 7698766; 501552; 368167; 7,614; 16125,551; 7696099; 504219; 379869; 12,075; 14360,133; 7734212; 466106; 352062; 11,117; 10681,293; 7782081; 418237; 294287; 5,379; 12441,112; 7828487; 371831; 277500
19a.sql; 43,275; 5666,177; 1055841; 91425; 275657; 30,709; 4957,479; 1062363; 84896; 279093; 47,103; 5150,824; 1066968; 80294; 294186; 34,323; 5193,656; 1049868; 97403; 311516; 28,704; 5726,768; 1077810; 69445; 264502; 32,255; 5094,16; 1059555; 87718; 299248; 33,411; 5328,619; 1035422; 111845; 296772; 42,933; 3759,609; 1125500; 21757; 200267; 30,316; 5283,349; 1069337; 77932; 279385; 35,048; 4648,874; 1066158; 81095; 279551
19b.sql; 41,368; 374,307; 86169; 793; 71047; 35,287; 572,079; 47777; 39185; 118604; 24,94; 464,217; 79219; 7742; 74033; 45,014; 641,622; 53182; 33780; 109275; 25,596; 732,995; 33460; 53502; 132256; 30,326; 715,677; 47544; 39418; 118113; 30,013; 702,58; 58217; 28745; 103748; 26,695; 625,96; 46360; 40602; 120880; 25,204; 339,537; 86096; 866; 69001; 27,829; 347,809; 86876; 85; 67815
19c.sql; 30,716; 4435,964; 583106; 25181; 207995; 30,29; 4691,951; 581451; 26831; 208367; 34,254; 4672,626; 573088; 35201; 209940; 42,808; 6890,533; 447522; 160758; 436241; 36,475; 5161,439; 426472; 181809; 463262; 34,61; 5883,636; 527751; 80540; 250045; 36,616; 4541,326; 512540; 95750; 337819; 33,964; 5105,501; 566703; 41585; 212776; 37,397; 6405,707; 529736; 78556; 247282; 34,82; 4303,131; 539981; 68307; 299762
19d.sql; 33,19; 15617,078; 21394185; 329352; 308266; 39,188; 15268,326; 21379473; 344032; 293034; 44,258; 16950,087; 21331237; 392288; 341669; 50,297; 17827,664; 21381168; 342359; 289673; 33,916; 18133,233; 21396912; 326613; 284519; 44,713; 15648,484; 21380731; 342788; 283762; 30,989; 16253,953; 21463186; 260349; 231474; 42,532; 17137,815; 21470627; 252892; 278315; 39,708; 18239,149; 21386603; 336906; 282216; 30,996; 14809,577; 21462057; 261472; 223470
20a.sql; 27,96; 13717,284; 1772502; 212587; 366019; 32,353; 6960,592; 1884405; 100684; 217887; 19,655; 8127,909; 1863659; 121430; 251857; 28,994; 7739,208; 1874763; 110326; 225034; 19,554; 6653,967; 1891224; 93865; 203126; 25,442; 6260,727; 1888469; 96620; 232587; 56,341; 6378,796; 1883071; 102018; 238538; 23,52; 7333,159; 1874294; 110795; 242664; 18,83; 4116,284; 1925805; 59284; 177524; 23,018; 8861,478; 1848737; 136352; 280860
20b.sql; 23,562; 4233,7; 799669; 63043; 192828; 22,023; 3748,388; 811212; 51500; 179646; 22,61; 2438,06; 833461; 29251; 148790; 26,836; 4529,822; 797998; 64714; 192627; 30,388; 3825,755; 808768; 53944; 181591; 20,002; 2879,242; 821647; 41065; 165482; 41,899; 3297,13; 818418; 44294; 161934; 24,752; 3403,444; 816336; 46376; 173116; 27,44; 4583,321; 793870; 68842; 204466; 34,274; 3303,572; 818286; 44426; 175664
20c.sql; 22,921; 3217,895; 691556; 43954; 164128; 54,128; 3681,954; 683269; 52241; 176570; 27,175; 4479,956; 670141; 65369; 197190; 29,473; 4651,389; 667152; 68358; 198320; 23,678; 4253,428; 675085; 60425; 184763; 38,838; 3219,379; 692357; 43153; 167098; 27,011; 3564,734; 686749; 48761; 170203; 18,577; 4221,602; 676082; 59428; 183436; 25,891; 1488,088; 721133; 14377; 136641; 35,147; 4500,331; 667541; 67969; 201017
21a.sql; 16,546; 895,414; 902506; 428; 34496; 21,593; 970,423; 904457; 9834; 46429; 22,524; 959,716; 881455; 10652; 42614; 25,602; 943,039; 903841; 10620; 46766; 20,297; 901,153; 901527; 10947; 47116; 19,592; 986,278; 893858; 5932; 39967; 20,072; 944,704; 882839; 11106; 46949; 34,59; 926,885; 889753; 6351; 41112; 27,691; 1022,93; 896349; 13393; 53015; 21,537; 909,701; 865128; 7384; 43263
21b.sql; 29,237; 859,452; 890274; 12312; 47687; 18,572; 986,31; 890281; 10665; 47325; 20,076; 935,953; 890577; 9957; 48336; 24,441; 1035,053; 889484; 12353; 47164; 17,789; 981,787; 885160; 9129; 46035; 29,482; 1055,611; 890143; 11628; 50504; 17,439; 909,292; 902158; 7485; 41031; 27,774; 917,971; 896405; 11691; 50483; 34,574; 942,34; 885348; 11408; 47052; 16,399; 936,201; 880168; 8404; 43585
21c.sql; 17,078; 1407,674; 979989; 16748; 62794; 18,217; 1313,381; 970602; 13659; 60162; 18,595; 1276,962; 986274; 17994; 68899; 18,105; 1718,818; 964099; 24134; 74039; 20,223; 1447,902; 971312; 17996; 65374; 18,267; 1399,109; 968997; 6832; 49525; 17,403; 1564,309; 981344; 16118; 62632; 18,241; 1530,174; 976772; 19513; 66137; 25,299; 1576,375; 977060; 20137; 68684; 19,932; 1379,516; 963095; 19603; 67117
22a.sql; 39,225; 1579,021; 999675; 17203; 101451; 44,38; 2227,194; 970735; 46143; 144604; 53,74; 1250,299; 1012535; 4343; 90449; 53,754; 2120,011; 977973; 38905; 132309; 42,75; 1342,709; 989091; 27787; 115992; 42,826; 1945,424; 987282; 29596; 115878; 47,9; 2324,232; 977376; 39502; 131703; 43,171; 1754,545; 991766; 25112; 106837; 42,316; 1708,748; 987398; 29480; 116913; 41,367; 1534,728; 1008037; 8841; 93929
22b.sql; 38,545; 1582,507; 893656; 28853; 111815; 51,248; 2007,984; 897050; 25459; 102173; 42,409; 742,889; 919332; 3177; 84269; 45,44; 1812,812; 892962; 29547; 111972; 59,094; 1622,805; 900870; 21639; 105323; 48,785; 1894,464; 890342; 32167; 120103; 49,272; 1318,39; 905820; 16689; 98032; 43,976; 2571,455; 884335; 38174; 118926; 46,731; 1882,13; 892484; 30025; 115318; 43,823; 900,867; 911750; 10759; 83402
22c.sql; 41,878; 2680,633; 1430235; 11160; 110169; 45,713; 3333,326; 1418295; 23100; 124701; 50,429; 2558,554; 1438864; 2531; 102294; 43,077; 5762,231; 1415137; 26258; 125773; 47,525; 4436,104; 1420769; 20626; 127510; 43,366; 4119,409; 1420021; 21374; 122977; 49,625; 4089,467; 1425574; 15821; 117784; 38,73; 5194,875; 1415844; 25551; 129605; 46,619; 3523,963; 1399983; 41412; 148517; 49,358; 5138,257; 1411089; 30306; 136770
22d.sql; 74,36; 9853,718; 1205724; 110699; 261936; 56,959; 6141,82; 1271132; 45291; 164335; 44,61; 2857,38; 1297032; 19391; 128524; 47,544; 10056,072; 1218099; 98324; 231593; 52,682; 10718,876; 1205576; 110847; 260515; 45,355; 8799,578; 1219458; 96965; 229536; 42,966; 8855,08; 1225559; 90864; 216934; 44,015; 7245,093; 1263728; 52695; 162528; 49,312; 6966,876; 1276716; 39707; 156654; 47,683; 2686,951; 1299459; 16964; 122892
23a.sql; 53,854; 1774,167; 664648; 52727; 163234; 45,075; 1267,896; 712318; 5057; 105620; 63,764; 1701,902; 698867; 18508; 114715; 43,823; 2117,638; 689082; 28293; 131996; 43,082; 1324,769; 699500; 17875; 116856; 49,222; 1158,227; 714433; 2942; 103405; 51,296; 1637,817; 696865; 20510; 120087; 45,246; 1885,488; 681556; 35819; 142325; 43,448; 1768,138; 698053; 19322; 122331; 44,829; 1541,674; 705245; 12129; 105841
